지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),해면기압(hPa)
108,서울,2023.12.31 1:00,2.1,,2.3,98,1000.3,1010.9
108,서울,2023.12.31 2:00,2.2,,1.2,98,1000,1010.6
108,서울,2023.12.31 3:00,2.2,0.8,1.8,99,999.8,1010.4
108,서울,2023.12.31 4:00,2.3,,2.3,99,999.3,1009.9
108,서울,2023.12.31 5:00,2.4,,1.8,99,998.5,1009.1
108,서울,2023.12.31 6:00,2.4,0,1.4,99,998.4,1009
108,서울,2023.12.31 7:00,2.8,,1.9,100,999.2,1009.8
108,서울,2023.12.31 8:00,1.2,,2.7,98,1000.8,1011.5
108,서울,2023.12.31 9:00,1.1,3.9,2.4,98,1002.2,1012.9
108,서울,2023.12.31 10:00,1.5,,2,99,1003.8,1014.5
108,서울,2023.12.31 11:00,1.8,,2.4,97,1005.2,1015.9
108,서울,2023.12.31 12:00,2.2,0,3.3,96,1005.8,1016.5
108,서울,2023.12.31 13:00,2.6,,2.4,92,1006.4,1017.1
108,서울,2023.12.31 14:00,2.6,,2.5,92,1007.3,1018
108,서울,2023.12.31 15:00,3.8,,2.7,90,1008.1,1018.7
108,서울,2023.12.31 16:00,4.3,,2.2,85,1009.1,1019.7
108,서울,2023.12.31 17:00,4,,2.2,86,1010.1,1020.8
108,서울,2023.12.31 18:00,3.1,,0.7,89,1011.2,1021.9
108,서울,2023.12.31 19:00,2.6,,0.8,90,1012,1022.7
108,서울,2023.12.31 20:00,1.9,,2.2,94,1013,1023.8
108,서울,2023.12.31 21:00,1.7,,2.4,96,1013.7,1024.5
108,서울,2023.12.31 22:00,1.3,,0.6,95,1014.1,1024.9
108,서울,2023.12.31 23:00,0.9,,0.8,96,1014.9,1025.8
108,서울,2024.1.1 0:00,0.6,,1.9,97,1015.4,1026.3
108,서울,2024.1.1 1:00,0.5,,2.2,97,1015.6,1026.5
108,서울,2024.1.1 2:00,0.4,,0.4,98,1016.2,1027.1
108,서울,2024.1.1 3:00,-0.1,,1.7,98,1016.6,1027.5
108,서울,2024.1.1 4:00,-0.2,,2.2,98,1016.8,1027.7
108,서울,2024.1.1 5:00,0.3,,1.2,99,1017.2,1028.1
